"[datetime.datetime(2020, 12, 10, 15, 59, 37, 768650)]",['IDT002'],[True],[23.52]
"[datetime.datetime(2020, 12, 10, 16, 0, 13, 827807)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 997.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 13, 874923)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 14, 323340)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 14, 386611)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 14, 850947)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 14, 882278)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 995.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 15, 377858)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 995.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 15, 393727)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 997.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 15, 873732)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 997.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 15, 905122)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 16, 400500)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 16, 416902)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 998.0, 20.8]"
