2020-12-10 14:22:42.995454,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:43.506529,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:44.017718,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:44.513118,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:45.024657,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:45.536190,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:46.047471,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:46.558929,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:46.702707,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1005.0]"
2020-12-10 14:22:47.006490,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:47.054487,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:47.229954,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:47.533679,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:47.565736,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:47.773311,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:48.077165,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:48.092993,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 967.0]"
2020-12-10 14:22:48.301565,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 967.0]"
2020-12-10 14:22:48.589001,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 967.0]"
2020-12-10 14:22:48.620817,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 975.0]"
2020-12-10 14:22:48.828452,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 975.0]"
2020-12-10 14:22:49.084163,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 975.0]"
2020-12-10 14:22:49.164058,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1003.0]"
2020-12-10 14:22:49.323758,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1003.0]"
2020-12-10 14:22:49.595503,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1003.0]"
2020-12-10 14:22:49.691418,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1000.0]"
2020-12-10 14:22:49.867424,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1000.0]"
2020-12-10 14:22:50.107063,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1000.0]"
2020-12-10 14:22:50.250976,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:50.378896,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:50.618421,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:50.762443,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 975.0]"
2020-12-10 14:22:50.906278,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 975.0]"
2020-12-10 14:22:51.114276,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 975.0]"
2020-12-10 14:22:51.305757,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:51.433574,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:51.625467,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:51.849284,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 945.0]"
2020-12-10 14:22:51.945109,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 945.0]"
2020-12-10 14:22:52.136939,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 945.0]"
2020-12-10 14:22:52.376848,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:52.440867,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
