2020-12-07 18:51:36.734210,['IDT002'],[20.51]
2020-12-07 18:51:44.934699,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.935414,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.935915,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.936387,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.936849,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.937328,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.937806,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.938278,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.938771,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.939256,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.939702,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.940332,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.940895,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.941317,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.941768,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.942307,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.945309,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.947755,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.948963,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.950097,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.951192,"['IDT002', 'IDL001']","[20.51, 968.0]"
